year,unitid,inst_name,state_abbr,inst_control,institution_level
"2020","488031","Abraham Lincoln University","CA","Private for-profit","Four or more years"
"2020","457271","Academy for Jewish Religion-California","CA","Private not-for-profit","Four or more years"
"2020","108232","Academy of Art University","CA","Private for-profit","Four or more years"
"2020","108269","Academy of Chinese Culture and Health Sciences","CA","Private not-for-profit","Four or more years"
"2020","384306","Acupuncture and Integrative Medicine College-Berkeley","CA","Private not-for-profit","Four or more years"
"2020","495192","Alder Graduate School of Education","CA","Private not-for-profit","Four or more years"
"2020","487995","Alhambra Medical University","CA","Private for-profit","Four or more years"
"2020","110468","Alliant International University-San Diego","CA","Private for-profit","Four or more years"
"2020","490081","America Evangelical University","CA","Private not-for-profit","Four or more years"
"2020","109086","American Conservatory Theater","CA","Private not-for-profit","Four or more years"
"2020","108870","American Film Institute Conservatory","CA","Private not-for-profit","Four or more years"
"2020","116846","American Jewish University","CA","Private not-for-profit","Four or more years"
"2020","461263","American Medical Sciences Center","CA","Private for-profit","Four or more years"
"2020","433004","American University of Health Sciences","CA","Private for-profit","Four or more years"
"2020","457299","Angeles College","CA","Private for-profit","Four or more years"
"2020","109350","Antelope Valley College","CA","Public","Four or more years"
"2020","245838","Antioch University-Los Angeles","CA","Private not-for-profit","Four or more years"
"2020","245847","Antioch University-Santa Barbara","CA","Private not-for-profit","Four or more years"
"2020","109651","Art Center College of Design","CA","Private not-for-profit","Four or more years"
"2020","154022","Ashford University","CA","Private for-profit","Four or more years"
"2020","444325","ATI College-Norwalk","CA","Private for-profit","Four or more years"
"2020","109785","Azusa Pacific University","CA","Private not-for-profit","Four or more years"
"2020","109819","Bakersfield College","CA","Public","Four or more years"
"2020","461643","Bergin University of Canine Studies","CA","Private not-for-profit","Four or more years"
"2020","108861","Berkeley School of Theology","CA","Private not-for-profit","Four or more years"
"2020","262022","Bethel Seminary-San Diego","CA","Private not-for-profit","Four or more years"
"2020","110060","Bethesda University","CA","Private not-for-profit","Four or more years"
"2020","475635","Beverly Hills Design Institute","CA","Private for-profit","Four or more years"
"2020","110097","Biola University","CA","Private not-for-profit","Four or more years"
"2020","262086","Brandman University","CA","Private not-for-profit","Four or more years"
"2020","433420","California Aeronautical University","CA","Private for-profit","Four or more years"
"2020","494940","California Arts University","CA","Private not-for-profit","Four or more years"
"2020","110361","California Baptist University","CA","Private not-for-profit","Four or more years"
"2020","110918","California Christian College","CA","Private not-for-profit","Four or more years"
"2020","110370","California College of the Arts","CA","Private not-for-profit","Four or more years"
"2020","485263","California College San Diego","CA","Private not-for-profit","Four or more years"
"2020","478634","California College San Diego","CA","Private not-for-profit","Four or more years"
