year,unitid,inst_name,state_abbr,level_of_study,enrollment_fall
"2020","488031","Abraham Lincoln University","CA","Graduate","196"
"2020","488031","Abraham Lincoln University","CA","Undergraduate","69"
"2020","457271","Academy for Jewish Religion-California","CA","Graduate","61"
"2020","108232","Academy of Art University","CA","Graduate","2804"
"2020","108232","Academy of Art University","CA","Undergraduate","6124"
"2020","108269","Academy of Chinese Culture and Health Sciences","CA","Graduate","97"
"2020","384306","Acupuncture and Integrative Medicine College-Berkeley","CA","Graduate","99"
"2020","495192","Alder Graduate School of Education","CA","Graduate","195"
"2020","487995","Alhambra Medical University","CA","Graduate","100"
"2020","487995","Alhambra Medical University","CA","Undergraduate","54"
"2020","110468","Alliant International University-San Diego","CA","Graduate","2998"
"2020","110468","Alliant International University-San Diego","CA","Undergraduate","431"
"2020","490081","America Evangelical University","CA","Graduate","100"
"2020","490081","America Evangelical University","CA","Undergraduate","65"
"2020","108861","American Baptist Seminary of the West","CA","Graduate","42"
"2020","109086","American Conservatory Theater","CA","Graduate","23"
"2020","109086","American Conservatory Theater","CA","Undergraduate","7"
"2020","108870","American Film Institute Conservatory","CA","Graduate","337"
"2020","116846","American Jewish University","CA","Graduate","56"
"2020","116846","American Jewish University","CA","Undergraduate","37"
"2020","461263","American Medical Sciences Center","CA","Undergraduate","52"
"2020","433004","American University of Health Sciences","CA","Graduate","85"
"2020","433004","American University of Health Sciences","CA","Undergraduate","323"
"2020","457299","Angeles College","CA","Graduate","5"
"2020","457299","Angeles College","CA","Undergraduate","298"
"2020","109350","Antelope Valley College","CA","Undergraduate","12057"
"2020","245838","Antioch University-Los Angeles","CA","Graduate","755"
"2020","245838","Antioch University-Los Angeles","CA","Undergraduate","169"
"2020","245847","Antioch University-Santa Barbara","CA","Graduate","210"
"2020","245847","Antioch University-Santa Barbara","CA","Undergraduate","66"
"2020","109651","Art Center College of Design","CA","Graduate","270"
"2020","109651","Art Center College of Design","CA","Undergraduate","1912"
"2020","154022","Ashford University","CA","Graduate","5690"
"2020","154022","Ashford University","CA","Undergraduate","25425"
"2020","444325","ATI College-Norwalk","CA","Undergraduate","83"
"2020","109785","Azusa Pacific University","CA","Graduate","4508"
"2020","109785","Azusa Pacific University","CA","Undergraduate","4498"
"2020","109819","Bakersfield College","CA","Undergraduate","24903"
"2020","461643","Bergin University of Canine Studies","CA","Graduate","25"
"2020","461643","Bergin University of Canine Studies","CA","Undergraduate","26"
"2020","262022","Bethel Seminary-San Diego","CA","Graduate","31"
"2020","110060","Bethesda University","CA","Graduate","114"
"2020","110060","Bethesda University","CA","Undergraduate","285"
"2020","475635","Beverly Hills Design Institute","CA","Undergraduate","14"
"2020","110097","Biola University","CA","Graduate","2132"
"2020","110097","Biola University","CA","Undergraduate","3683"
"2020","262086","Brandman University","CA","Graduate","4872"
"2020","262086","Brandman University","CA","Undergraduate","6114"
"2020","433420","California Aeronautical University","CA","Graduate","5"
"2020","433420","California Aeronautical University","CA","Undergraduate","269"
"2020","494940","California Arts University","CA","Graduate","22"
"2020","110361","California Baptist University","CA","Graduate","3208"
"2020","110361","California Baptist University","CA","Undergraduate","8109"
"2020","110918","California Christian College","CA","Undergraduate","13"
"2020","110370","California College of the Arts","CA","Graduate","373"
"2020","110370","California College of the Arts","CA","Undergraduate","1239"
"2020","485263","California College San Diego","CA","Undergraduate","235"
"2020","478634","California College San Diego","CA","Undergraduate","135"
"2020","111045","California Graduate School of Theology","CA","Graduate","19"
"2020","111045","California Graduate School of Theology","CA","Undergraduate","24"
"2020","488572","California Health Sciences University","CA","Graduate","243"
"2020","487649","California Institute of Advanced Management","CA","Graduate","209"
"2020","110316","California Institute of Integral Studies","CA","Graduate","1432"
