,country,year,Inflation,Unemployment Rate,avg_wage,exchange_rate,old_age_dependency,pop_tertiary_ed,public_spend,working_age
0,Australia,2020,0.846905537459293,6.46000003814697,56454.6426875463,1.453085,27.7,54.614105,0.6193333333333333,65.0800304998193
1,Australia,2019,1.61076787290379,5.15999984741211,55170.1593572686,1.438507,27.6,52.478458,0.6193333333333333,65.375521199949
2,Australia,2018,1.91140094445692,5.30000019073486,54585.7361515336,1.338412,22.91052631578948,51.393173,0.6193333333333333,65.5532463120061
3,Australia,2017,1.94864740944522,5.59000015258789,54446.1871655676,1.304758,26.4,51.989063,0.604,65.7345013750993
4,Australia,2016,1.27699094497328,5.71000003814697,54708.5463944103,1.345214,22.91052631578948,49.30521,0.642,65.9175739049387
5,Australia,2015,1.50836672165921,6.05000019073486,54594.2877238492,1.33109,25.0,48.466274,0.683,66.1831428835957
6,Australia,2014,2.48792270531403,6.07999992370605,54958.9983415996,1.109363,24.5,48.13139,0.671,66.4253900823175
7,Australia,2013,2.44988864142539,5.65999984741211,54493.4287124233,1.035843,23.8,45.745182,0.642,66.6713031564291
8,Australia,2012,1.76278015613193,5.21999979019165,54693.5327880133,0.965801,23.1,47.231079,0.566,66.9304833205145
9,Australia,2011,3.30385015608744,5.07999992370605,54341.6321607586,0.969463,22.5,44.615528,0.509,67.2268749576993
10,Australia,2010,2.91834002677376,5.21000003814697,52645.0632525028,1.090159,22.1,44.374836,0.503,67.3862811624133
11,Australia,2009,1.77111716621252,5.55999994277954,50884.3098547751,1.282189,21.8,44.778488,0.541,67.5054455278258
12,Australia,2008,4.35029854990047,4.23000001907349,51375.7399322454,1.192178,21.6,41.99683,0.444,67.4996549281693
13,Australia,2007,2.32761128891476,4.38000011444092,51049.1432412323,1.195073,21.5,40.728859,0.408,67.4304104424403
14,Australia,2006,3.55528773727028,4.78000020980835,49688.9707896302,1.327973,21.5,38.804123,0.484,67.4027574052003
15,Australia,2005,2.69183168316831,5.03000020980835,49357.8088760077,1.309473,21.4,38.098312,0.547,67.3126778400031
16,Australia,2004,2.34325522482587,5.3899998664856,48813.6269703482,1.359752,21.3,36.168247,0.62,67.2243409605572
17,Australia,2003,2.73259596616783,5.92999982833862,47349.6629826868,1.541914,21.1,36.322815,0.7,67.1361369506626
18,Australia,2002,2.98157453936349,6.36999988555908,46714.7138012541,1.840563,21.0,35.797337,0.773,67.0161285772249
19,Australia,2001,4.4071353620147,6.73999977111816,46325.6452063718,1.933443,20.8,33.511932,0.885,66.9032323769899
20,Australia,2000,4.45743514797225,6.28000020980835,45864.2246839447,1.724827,20.6,31.372517,0.926,66.8523430954823
21,Austria,2020,1.38191063351859,5.3600001335144,57271.6172207632,0.875506,31.3,41.419125,1.0054444444444444,66.4544578267313
22,Austria,2019,1.53089564152645,4.48999977111816,57182.0543713264,0.893276,31.8,41.610401,1.0054444444444444,66.6369440426546
23,Austria,2018,1.99837981429546,4.84999990463257,56738.9624275253,0.846773,28.152631578947368,40.458271,1.0054444444444444,66.8095694957979
24,Austria,2017,2.08126911385587,5.5,56553.1036411922,0.885206,30.9,40.324657,1.03,66.9827982098614
25,Austria,2016,0.891591752655335,6.01000022888184,56565.1098080641,0.903421,28.152631578947368,39.671021,1.083,67.1433439140411
26,Austria,2015,0.896563335260302,5.71999979019165,56034.5368994984,0.901296,30.5,38.626846,1.059,67.2390894556232
27,Austria,2014,1.60581182954471,5.61999988555908,55628.9597328474,0.752728,30.1,38.403149,1.001,67.3005707442428
28,Austria,2013,2.00015616900603,5.32999992370605,55424.6726991352,0.752945,29.9,38.666092,0.984,67.439104518811
29,Austria,2012,2.48567562177017,4.86999988555908,55399.0387275458,0.778338,29.7,36.127834,0.901,67.5673613281067
30,Austria,2011,3.28657914875376,4.55999994277954,55086.1950141318,0.718414,29.4,34.808361,0.899,67.6576264696549
31,Austria,2010,1.81353438995065,4.82000017166138,55693.2537677195,0.754309,29.0,33.863789,0.995,67.5055546126937
32,Austria,2009,0.506308827696486,5.30000019073486,55945.1002116724,0.716958,28.5,33.408676,1.053,67.4569857662001
33,Austria,2008,3.21595033239883,4.13000011444092,55008.95643616,0.679923,27.8,32.680725,0.826,67.4856375760211
34,Austria,2007,2.16855528800755,4.8600001335144,54099.6936163515,0.729672,27.1,31.065872,0.886,67.4661662320171
35,Austria,2006,1.44154851119019,5.23999977111816,53791.255595178,0.796433,26.4,31.518833,1.011,67.5613828243719
36,Austria,2005,2.29913785639285,5.63000011444092,52999.3782983738,0.8038,25.9,30.570971,1.106,67.756019918111
37,Austria,2004,2.06120618032866,5.82999992370605,52714.6666757652,0.803922,25.6,30.473413,1.179,68.0552439267264
38,Austria,2003,1.35555370896445,4.78000020980835,51732.5421239379,0.884048,25.4,36.099884470588236,1.185,68.1230118085867
39,Austria,2002,1.81035787764132,4.84999990463257,51613.8737572224,1.057559,25.4,36.099884470588236,1.069,67.9192998966484
40,Austria,2001,2.65000077279529,4.01000022888184,50844.0596468737,1.116533,25.3,36.099884470588236,0.909,67.7194800040237
41,Austria,2000,2.34486285357277,4.69000005722046,51003.6687538745,1.082705,24.9,36.099884470588236,0.922,67.5306176095909
42,Belgium,2020,0.740791812220385,5.55000019073486,57271.7218967191,0.875506,33.1,48.508053,3.051333333333334,63.943657296146
43,Belgium,2019,1.43681956996435,5.3600001335144,58841.9236167908,0.893276,33.9,47.282982,3.051333333333334,64.0615273586521
44,Belgium,2018,2.05316499865181,5.94999980926514,58270.1110053084,0.846773,29.773684210526312,47.397144,3.051333333333334,64.2367503994304
45,Belgium,2017,2.12597086002609,7.09000015258789,57956.7749506732,0.885206,32.8,45.725086,1.821,64.4304063033826
46,Belgium,2016,1.97385264653172,7.82999992370605,58364.7213975469,0.903421,29.773684210526312,44.311111,2.381,64.6308903149472
47,Belgium,2015,0.561429152790106,8.47999954223633,58239.5851322215,0.901296,30.6,43.144318,2.903,64.8108364178268
48,Belgium,2014,0.340002833356965,8.52000045776367,58637.190215588,0.752728,31.0,44.239079,3.214,65.0118544393279
