country,year,SL.UEM.TOTL.ZS
Australia,2020,6.46000003814697
Australia,2019,5.15999984741211
Australia,2018,5.30000019073486
Australia,2017,5.59000015258789
Australia,2016,5.71000003814697
Australia,2015,6.05000019073486
Australia,2014,6.07999992370605
Australia,2013,5.65999984741211
Australia,2012,5.21999979019165
Australia,2011,5.07999992370605
Australia,2010,5.21000003814697
Australia,2009,5.55999994277954
Australia,2008,4.23000001907349
Australia,2007,4.38000011444092
Australia,2006,4.78000020980835
Australia,2005,5.03000020980835
Australia,2004,5.3899998664856
Australia,2003,5.92999982833862
Australia,2002,6.36999988555908
Australia,2001,6.73999977111816
Australia,2000,6.28000020980835
Austria,2020,5.3600001335144
Austria,2019,4.48999977111816
Austria,2018,4.84999990463257
Austria,2017,5.5
Austria,2016,6.01000022888184
Austria,2015,5.71999979019165
Austria,2014,5.61999988555908
Austria,2013,5.32999992370605
Austria,2012,4.86999988555908
Austria,2011,4.55999994277954
Austria,2010,4.82000017166138
Austria,2009,5.30000019073486
Austria,2008,4.13000011444092
Austria,2007,4.8600001335144
Austria,2006,5.23999977111816
Austria,2005,5.63000011444092
Austria,2004,5.82999992370605
Austria,2003,4.78000020980835
Austria,2002,4.84999990463257
Austria,2001,4.01000022888184
Austria,2000,4.69000005722046
Belgium,2020,5.55000019073486
Belgium,2019,5.3600001335144
Belgium,2018,5.94999980926514
Belgium,2017,7.09000015258789
Belgium,2016,7.82999992370605
Belgium,2015,8.47999954223633
Belgium,2014,8.52000045776367
Belgium,2013,8.43000030517578
Belgium,2012,7.53999996185303
Belgium,2011,7.1399998664856
Belgium,2010,8.28999996185303
Belgium,2009,7.90999984741211
Belgium,2008,6.98000001907349
Belgium,2007,7.46000003814697
Belgium,2006,8.25
Belgium,2005,8.4399995803833
Belgium,2004,7.3600001335144
Belgium,2003,7.67999982833862
Belgium,2002,6.90999984741211
Belgium,2001,6.17999982833862
Belgium,2000,6.59000015258789
Canada,2020,9.46000003814697
Canada,2019,5.65999984741211
Canada,2018,5.82999992370605
Canada,2017,6.34000015258789
Canada,2016,7.0
Canada,2015,6.90999984741211
Canada,2014,6.90999984741211
Canada,2013,7.07000017166138
Canada,2012,7.28999996185303
Canada,2011,7.51000022888184
Canada,2010,8.0600004196167
Canada,2009,8.34000015258789
Canada,2008,6.1399998664856
Canada,2007,6.03999996185303
Canada,2006,6.32000017166138
Canada,2005,6.76000022888184
Canada,2004,7.19000005722046
Canada,2003,7.57000017166138
Canada,2002,7.65999984741211
Canada,2001,7.21999979019165
Canada,2000,6.82999992370605
Switzerland,2020,4.82000017166138
Switzerland,2019,4.3899998664856
Switzerland,2018,4.71000003814697
Switzerland,2017,4.80000019073486
